FR	EN	DE		P30	P58						P30RP14	P58RP14	P2	P2RP14	P25
individualisme	individualism	Individualismus	Q171995	https://www.wikidata.org/wiki/Q171995		individualisme	individualism	Individualismus	Seklit	exact match					
industrialisation	industrialization	Industrialisierung	Q202398	https://www.wikidata.org/wiki/Q202398		Industrialisation	industrialization	Industrialisierung	DEL	exact match					
inimitié	enmity	Feindschaft	Q5275945	https://www.wikidata.org/wiki/Q5275945		inimitié	enmity	Feindschaft	Seklit	exact match					
inspiration	inspiration	Inspiration	Q196668	https://www.wikidata.org/wiki/Q196668		inspiration	Artistic inspiration	Inspiration	DEL	exact match					
interaction	interaction	Interaktion	Q52948	https://www.wikidata.org/wiki/Q52948		interaction	interaction	Interaktion	Topic Modeling	exact match					
ironie	irony	Ironie	Q131361	https://www.wikidata.org/wiki/Q131361		ironie	irony	Ironie	DEL	exact match					
Islam	Islam	Islam	Q432	https://www.wikidata.org/wiki/Q432		Islam	Islam	Islam	DEL	exact match					
jalousie	jealousy	Eifersucht	Q6545811	https://www.wikidata.org/wiki/Q6545811		jalousie	jealousy	Eifersucht	Seklit	exact match					
jésuite	jesuit	Jesuit	Q63173086	https://www.wikidata.org/wiki/Q63173086		jésuite	jesuit	Jesuit	DEL	exact match					
joie	joy	Freude	Q935526	https://www.wikidata.org/wiki/Q935526		joie	joy	Freude	Seklit	exact match					
journalisme	journalism	Journalismus	Q11030	https://www.wikidata.org/wiki/Q11030		journalisme	journalism	Journalismus	DEL	exact match					
Judaïsme	Judaism	Judentum	Q9268	https://www.wikidata.org/wiki/Q9268		Judaïsme	Judaism	Judentum	DEL	exact match					
jugement	judgment	Urteil	Q3769186	https://www.wikidata.org/wiki/Q3769186		jugement	judgment	Urteil	Seklit	exact match					
justice	judiciary	Judikative	Q105985		https://www.wikidata.org/wiki/Q105985	Pouvoir judicaire	judiciary	Judikative	DEL	close match	#	Q19			
justice	justice	Gerechtigkeit	Q5167661	https://www.wikidata.org/wiki/Q5167661		justice	justice	Gerechtigkeit	Seklit	exact match					
laïcisation	laicisation	Laizisierung	Q3220108		https://www.wikidata.org/wiki/Q3220108	laïcisation	laicisation		DEL	close match	#	Q19			
laideur	ugliness	Hässlichkeit	Q1415055	https://www.wikidata.org/wiki/Q1415055		laideur	ugliness	Hässlichkeit	DEL	exact match					
langue	language	Sprache	Q34770		https://www.wikidata.org/wiki/Q34770	langue	language	Einzelsprache	DEL	close match	#	Q19			
lecture	lecture	Lesen	Q199657	https://www.wikidata.org/wiki/Q199657		lecture	lecture	Lesen	DEL	exact match					
