P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
53.5	r_c	rencontres galantes; anecdotes sur l’amour (l’Amour essaie de rétablir son influence en prêchant un carême, mais c’est Vénus, c.-à-d. le plaisir libertin, qui gagne la partie)	libertin	isabout	libertinage		
53.5	r_c	rencontres galantes; anecdotes sur l’amour (l’Amour essaie de rétablir son influence en prêchant un carême, mais c’est Vénus, c.-à-d. le plaisir libertin, qui gagne la partie)	amour	isabout	amour		
53.6	r_c	aventures romanesques, voyages	voyages	isabout	voyage		
53.7	r_c	aventures merveilleuses d’un prince qui cherche sa bien-aimée	merveille	isabout	miracle		
53.9	r_c	intrigue sentimentale entre une veuve et l’ami de feu son mari	sentimentale	isabout	sentiment		
54.1	r_c	aventures romanesques, voyages, intrigues sentimentales	sentimentale	isabout	sentiment		
54.1	r_c	aventures romanesques, voyages, intrigues sentimentales	voyages	isabout	voyage		
54.10	r_c	aventures galantes, voyages, éléments merveilleux et féeriques	galant	isabout	galanterie		
54.10	r_c	aventures galantes, voyages, éléments merveilleux et féeriques	merveille	isabout	miracle		
54.10	r_c	aventures galantes, voyages, éléments merveilleux et féeriques	voyages	isabout	voyage		
54.12	r_c	aventures sentimentales	sentimentale	isabout	sentiment		
54.14	r_c	description des mœurs de différents pays; intrigue sentimentale: Ruspia épouse le vice-roi de Goa	sentimentale	isabout	sentiment		
54.14	r_c	description des mœurs de différents pays; intrigue sentimentale: Ruspia épouse le vice-roi de Goa	mœurs	isabout	mœurs		
54.15	r_c	aventures, voyages, malheurs	malheurs	isabout	malheur		
54.15	r_c	aventures, voyages, malheurs	voyages	isabout	voyage		
54.16	r_c	aventures galantes d’un moine, voyages	galant	isabout	galanterie		
54.16	r_c	aventures galantes d’un moine, voyages	voyages	isabout	voyage		
54.17	r_c	les imprudences d’une jeune fille, intrigues sentimentales	sentimentale	isabout	sentiment		
54.18	r_s	intrigues galantes dans les dernières parties	galant	isabout	galanterie		
54.18	r_c	aventures sentimentales	sentimentale	isabout	sentiment		
54.19	r_c	voyages, aventures galantes	galant	isabout	galanterie		
54.19	r_c	voyages, aventures galantes	voyages	isabout	voyage		
54.2	r_c	aventures lubriques d’une prostituée devenue entremetteuse	lubriques	isabout	érotisme		
