P13		P52		check	1P52		1check	2P52		2check	3P52		3check	4P52		4check	5P52		5check	6P52		6check	7P52		8P52		8check	P52RP14	1P52RP14	2P52RP14	3P52RP14	4P52RP14	5P52RP14	6P52RP14	7P52RP14	8P52RP14
update																												Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1
id	s	r_pl	P48 1 Wikidata Label			P48 2 Wikidata Label			P48 3 Wikidata Label			P48 4 Wikidata Label			P48 5 Wikidata Label			P48 6 Wikidata Label			P48 7 Wikidata Label			P48 8 Wikidata Label		P48 9 Wikidata Label										
52.39	m	�le imaginaire	�le de fiction	https://www.wikidata.org/wiki/Q6619693																																
52.4		cadre fantaisiste oriental	lieu de fiction	https://www.wikidata.org/wiki/Q3895768		Orient	https://www.wikidata.org/wiki/Q205653	avec quelques anagrammes: Perileterlasa = la Salp�tri�re	avec quelques anagrammes: Perileterlasa = la Salp�tri�re																											
52.40		France	France	https://www.wikidata.org/wiki/Q142	Pays-Bas	Pays-Bas	https://www.wikidata.org/wiki/Q476033																													
52.41		Louisiane	Louisiane		France	France	https://www.wikidata.org/wiki/Q142																													
52.42		France	France	https://www.wikidata.org/wiki/Q142	�le d�serte	île inhabitée	https://www.wikidata.org/wiki/Q1065592																													
52.5	*																																			
52.6	n																																			
52.7		France	France	https://www.wikidata.org/wiki/Q142																																
52.8	c																																			
52.9		Perse	Perse	https://www.wikidata.org/wiki/Q3746183																																
53.1		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
53.10		Dijon	Dijon	https://www.wikidata.org/wiki/Q7003	Paris	Paris	https://www.wikidata.org/wiki/Q90	Londres	Londres	https://www.wikidata.org/wiki/Q84																										
53.11		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
53.12		cadre pastoral grec	Gr�ce	https://www.wikidata.org/wiki/Q41																																
53.13	c	France	France	https://www.wikidata.org/wiki/Q142	Italie	Italie	https://www.wikidata.org/wiki/Q38																													
53.14		Bagdad	Bagdad	https://www.wikidata.org/wiki/Q1530																																
53.15																																				
53.16	c																																			
53.17					bourgeoisie et paysans	bourgeoisie et paysans																														
53.18																																				
53.19																																				
53.2	t																																			
53.20	n	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Gaule	Gaule	https://www.wikidata.org/wiki/Q38060	fin de l�Empire romain	fin de l�Empire romain																											
53.21	*																																			
53.22																																				
53.23																																				
53.24		France	France	https://www.wikidata.org/wiki/Q142	Espagne	Espagne	https://www.wikidata.org/wiki/Q29																													
53.25	m																																			
53.27		Tartarie	Tartarie	https://www.wikidata.org/wiki/Q83971																																
53.28		France	France	https://www.wikidata.org/wiki/Q142																																
53.29	n																																			
53.3	m																																			
53.30		province (Vichi)	campagne	https://www.wikidata.org/wiki/Q175185																																
53.31		province	campagne	https://www.wikidata.org/wiki/Q175185																																
53.32	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
53.33		r�gions fantaisistes	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																																
53.34		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
53.35	c_MH																																			
53.4																																				
53.5		cadre grec	Gr�ce	https://www.wikidata.org/wiki/Q41																																
53.6	nt	Italie	Italie	https://www.wikidata.org/wiki/Q38	pays m�diterran�ens	bassin méditerranéen	https://www.wikidata.org/wiki/Q72499																													
53.7																																				
53.8																																				
53.9		France	France	https://www.wikidata.org/wiki/Q142																																
54.1		Am�rique	�tats-Unis	https://www.wikidata.org/wiki/Q30	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
54.10		cadre oriental fantaisiste (= Paris)	lieu de fiction	https://www.wikidata.org/wiki/Q3895768		Orient	https://www.wikidata.org/wiki/Q205653		Paris	https://www.wikidata.org/wiki/Q90																										
54.11	m																																			
54.12	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
54.14																																				
54.15	t	Livonie	Livonie	https://www.wikidata.org/wiki/Q183464	Su�de	Suède	https://www.wikidata.org/wiki/Q34	Hollande	Hollande	https://www.wikidata.org/wiki/Q102911	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Angleterre ...	Angleterre	https://www.wikidata.org/wiki/Q21																				
54.16		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90	Flandre	Flandre	https://www.wikidata.org/wiki/Q234	Tunis	Tunis	https://www.wikidata.org/wiki/Q3572																							
54.17	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
54.18	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
54.19		cadre oriental	Orient	https://www.wikidata.org/wiki/Q205653	puis la lune	Lune	https://www.wikidata.org/wiki/Q405	V�nus	Vénus	https://www.wikidata.org/wiki/Q313	Mercure	Mercure	https://www.wikidata.org/wiki/Q308																							
54.2		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
54.20		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Jama�que	Jamaïque	https://www.wikidata.org/wiki/Q766																													
54.21	c_MH																																			
54.22		Constantinople	Constantinople	https://www.wikidata.org/wiki/Q16869																																
54.23		Bungo (Japon)	Bungo	https://www.wikidata.org/wiki/Q864148																																
54.24		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
54.25	*																																			
54.26	m																																			
54.27		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
54.27bis																																				
