"P13"		"P47"	"P55"	"P55RP14"
"update"				"Q1"
	"check item"	"minimale Korrekturen"	"neu: Mapping der Strings auf 7 Werte"	"stated in Q1"
"00.98"		"1re personne, avec récits intercalés"	"autodiegetic"	
"76.43"		"1re personne, avec récits intercalés 1re et 3e personne"	"autodiegetic"	
"83.48"		"1re personne, avec récits intercalés 1re et 3e personne"	"autodiegetic"	
"88.51"		"1re personne, avec récits intercalés 1re et 3e personne"	"autodiegetic"	
"72.20"		"1re personne, avec récits intercalés 1re et 3e personne et une série de lettres"	"autodiegetic"	
"74.27"		"1re personne, avec récits intercalés 1re et 3e personnes"	"autodiegetic"	
"00.128"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"00.39"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"00.43"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"00.64"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"00.93"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"51.32"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"55.20"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"56.9"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"61.13"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"63.2"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"64.15"	"c_MH"	"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"64.30"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"64.44"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"70.39"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"71.11"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"72.12"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"72.36"	"t"	"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"73.12"	"n"	"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"75.11"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"79.10"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"80.18"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"83.27"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"84.23"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"86.29"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"87.40"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"87.60"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"87.68"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"88.89"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"89.65"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"89.74"	"t"	"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"89.99"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"90.46"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"91.13"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"92.23"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"92.33"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
